site_ID,lat,lon,site_type
ABBT0058752,52.51,-114.13,311
ABBT0044779,51.97,-114.79,311
ABBT0040339,52.7,-114.57,311
ABBT0050536,52.66,-114.22,311
ABBT0104487,51.81,-113.37,311
ABBT0100774,51.82,-113.37,311
ABBT0080100,52.71,-114.57,311
ABBT0075526,52.15,-112.97,311
ABBT0075373,52.16,-113.76,311
ABBT0053225,52.67,-114.66,311
ABBT0066469,52.05,-113.11,311
ABBT0062032,51.85,-115.12,311
ABBT0061183,52.67,-114.22,311
ABBT0059257,51.39,-113.8,311
ABBT0057887,52.4,-114.35,311
ABBT0055144,52.7,-114.75,311
ABBT0054281,52.66,-114.55,311
ABBT0104981,51.67,-113.33,311
ABBT0119548,51.55,-113.03,311
ABBT0124896,52.88,-114.45,311
ABBT0124672,52.89,-114.38,311
ABBT0116307,52.64,-114.43,311
ABBT0113767,52.64,-114.43,311
ABBT0104895,52.62,-114.34,311
ABBT0102157,52.45,-113.97,311
ABBT0098894,52.53,-114.03,311
ABBT0096222,52.62,-114.36,311
ABBT0088909,52.54,-114.2,311
ABBT0085203,52.46,-113.99,311
ABBT6120062,52.86,-114.54,311
ABBT0159159,52.95,-114.49,311
ABBT0152013,52.93,-114.45,311
ABBT0149273,52.96,-114.47,311
ABBT0148719,52.99,-114.39,311
ABBT0146010,52.88,-114.45,311
ABBT0139648,52.96,-114.49,311
ABBT0111566,52.61,-115.27,311
ABBT0112302,52.69,-114.54,311
ABBT0117705,51.68,-113.33,311
ABBT0088431,51.4,-112.92,311
ABBT0095846,51.37,-112.7,311
ABBT0098802,51.41,-112.88,311
ABBT0106561,51.38,-112.98,311
ABBT0107203,51.39,-113.04,311
ABBT0107206,51.33,-113.09,311
ABBT0110219,51.36,-112.87,311
ABBT0113711,51.34,-113.02,311
ABBT0117061,51.33,-113.07,311
ABBT0123431,51.34,-113.03,311
ABBT0123720,51.34,-113.03,311
ABBT0128771,51.37,-112.85,311
ABBT0128772,51.37,-112.85,311
ABBT0129283,51.41,-112.97,311
ABBT0137970,52.58,-116,311
ABBT0053948,51.37,-113,311
ABBT0057640,51.35,-113.14,311
ABBT0157112,51.44,-112.89,311
ABBT0156209,52.64,-114.59,311
ABBT0156206,52.64,-114.59,311
ABBT0154287,51.94,-114.65,311
ABBT0154286,51.94,-114.65,311
ABBT0152231,52.67,-114.67,311
ABBT0151197,52.7,-114.55,311
ABBT0151196,52.7,-114.55,311
ABBT0140672,52.64,-114.55,311
ABBT0140018,52.06,-114.98,311
ABBT0131522,52.16,-113.84,311
ABBT0127863,51.4,-113.79,311
ABBT0120668,51.8,-114.77,311
ABBT0120092,52.53,-114.78,311
ABBT0120091,52.53,-114.78,311
ABBT0119943,51.8,-113.32,311
ABBT0119942,51.8,-113.3,311
ABBT9730026,52.67,-114.58,311
ABBT9730024,52.69,-114.57,311
ABBT9730019,52.7,-114.54,311
ABBT9730017,52.7,-114.56,311
ABBT9730012,52.67,-114.59,311
ABBT9730011,52.69,-114.53,311
ABBT9730008,52.69,-114.59,311
ABBT7850019,52,-115.15,311
ABBT6670018,52.65,-114.58,311
ABBT6670017,52.65,-114.57,311
ABBT1940035,51.96,-114.76,311
ABBT1940008,51.97,-114.79,311
ABBT1940001,51.98,-114.77,311
ABBT0076112,52.95,-114.09,311
ABBT0084995,52.64,-114.57,311
ABBT0083625,52.64,-114.56,311
ABBT0079472,52.19,-113.57,311
ABBT0078475,52.18,-113.58,311
ABBT0075600,52.18,-113.58,311
ABBT0047340,52.62,-114.56,311
ABBT5730095,51.48,-114.45,311
ABBT5730087,51.47,-114.48,311
ABBT0154956,52.38,-115.21,311
ABBT0148056,52.36,-115.18,311
ABBT0148055,52.36,-115.18,311
ABBT0140386,52.33,-115.23,311
ABBT0138850,51.11,-114.35,311
ABBT0134944,52.38,-115.26,311
ABBT0131572,52.28,-115.14,311
ABBT0131476,52.23,-115.09,311
ABBT0131003,52.36,-115.18,311
ABBT0130943,52.26,-115.05,311
ABBT0128901,52.23,-115.11,311
ABBT5730088,51.53,-114.48,311
ABBT5730014,51.48,-114.44,311
ABBT5730086,51.4,-114.4,311
ABBT5730080,51.5,-114.51,311
ABBT5730071,51.42,-114.44,311
ABBT5730059,51.38,-114.37,311
ABBT5730058,51.39,-114.37,311
ABBT5730057,51.42,-114.39,311
ABBT5730050,51.41,-114.42,311
ABBT5730049,51.43,-114.42,311
ABBT5730048,51.39,-114.39,311
