site_ID,lat,lon,site_type
ABBT6440071,55.92,-115.05,311
ABBT0146029,55.73,-115.51,311
ABBT0125449,55.69,-115.52,311
ABBT0059014,55.99,-115.37,311
ABBT0055451,55.99,-115.36,311
ABBT0049221,55.56,-115.78,311
ABBT0061992,55.31,-114.51,311
ABBT0141075,55.84,-115.06,311
ABBT0121700,55.95,-115.37,311
ABBT0136506,56.47,-115.8,311
ABBT7340010,57.22,-114.88,311
ABBT8340048,57.01,-114.52,311
ABBT0067388,57.02,-114.55,311
ABBT0081189,56.76,-114.54,311
ABBT0124676,56.14,-115.49,311
ABBT3440030,56.93,-114.82,311
ABBT0067047,57.02,-114.32,311
ABBT0061687,57.04,-114.31,311
ABBT0061623,57.21,-114.53,311
ABBT0040506,56.03,-115.21,311
ABBT0040936,56.02,-115.47,311
ABBT0050722,57.21,-114.53,311
ABBT0053238,56,-115.27,311
ABBT0055650,57.05,-114.3,311
ABBT0061622,57.11,-114.44,311
ABBT0068077,56.91,-115.9,311
ABBT0066860,56.83,-115.95,311
ABBT0066584,56.52,-115.66,311
ABBT0058743,56.56,-115.65,311
ABBT0058568,56.62,-115.31,311
ABBT0058529,56.61,-115.07,311
ABBT0057580,56.85,-115.95,311
ABBT0051393,56.54,-115.23,311
ABBT0043092,56.55,-115.72,311
ABBT0076046,56.7,-115.32,311
ABBT7640039,56.7,-115.17,311
ABBT7640038,56.7,-115.17,311
ABBT7640035,56.73,-115.18,311
ABBT0078679,56.58,-115.32,311
ABBT0079342,56.61,-115.3,311
ABBT7660011,56.93,-115.94,311
ABBT7640113,56.54,-115.15,311
ABBT7640111,56.66,-115.34,311
ABBT7640075,56.75,-115.2,311
ABBT7640040,56.73,-115.22,311
ABBT7640006,56.62,-115.09,311
ABBT3530015,56.55,-115.79,311
ABBT3530012,56.54,-115.77,311
ABBT3530001,56.56,-115.9,311
ABBT7640015,56.63,-115.27,311
ABBT0160313,56.52,-115.26,311
ABBT0160309,56.55,-115.3,311
ABBT0159514,56.72,-115.26,311
ABBT0117216,56.6,-115.31,311
ABBT0114843,56.52,-115.63,311
ABBT0112287,56.89,-115.97,311
ABBT0106816,56.87,-115.96,311
ABBT7640145,56.7,-115.23,311
ABBT0105399,56.62,-115.3,311
ABBT0102529,56.63,-115.31,311
ABBT0095246,56.54,-115.3,311
ABBT0091839,56.55,-115.12,311
ABBT0090748,56.54,-115.1,311
ABBT0079697,56.61,-115.28,311
ABBT0130917,56.65,-115.25,311
ABBT0156120,56.95,-115.89,311
ABBT0156119,56.93,-115.88,311
ABBT0155267,56.53,-115.13,311
ABBT6150023,55.43,-114.81,311
ABBT6150031,55.42,-114.73,311
ABBT0147831,56.87,-115.95,311
ABBT0146679,56.63,-115.22,311
ABBT0144713,56.58,-115.26,311
ABBT6440001,55.73,-115.11,311
ABBT0144462,56.57,-115.19,311
ABBT0144461,56.57,-115.19,311
ABBT0144460,56.57,-115.19,311
ABBT0143660,56.59,-115.27,311
ABBT0143367,56.55,-115.15,311
