site_ID,lat,lon,site_type
ABBT0090577,50.62,-113.32,311
ABBT0083861,50.74,-113.34,311
ABBT0086482,50.61,-113.34,311
ABBT5770043,50.25,-113,311
ABBT0058776,50.23,-113.01,311
ABBT0043229,50.25,-113.01,311
ABBT0123931,50.68,-113.3,311
ABBT0078300,50.65,-114.27,311
ABBT0148760,50.29,-113.85,311
ABBT0122347,50.63,-113.12,311
ABBT9980645,49.43,-113.27,311
ABBT9980123,49.68,-113.1,311
ABBT0088826,50.09,-113.01,311
ABBT0084013,50.08,-113,311
ABBT0089716,50.09,-113.02,311
ABBT0940002,50.02,-113.14,311
ABBT0125540,50.02,-113.19,311
ABBT0124276,50.04,-113.19,311
ABBT0100545,50.07,-113.28,311
ABBT0086701,49.99,-113.03,311
ABBT0077921,49.93,-113.04,311
ABBT0062583,50.02,-113.13,311
ABBT0148950,49.94,-113.68,311
ABBT0079355,50.06,-113.26,311
ABBT0077614,50.06,-113.27,311
ABBT0077144,50,-113.07,311
ABBT2230006,50.1,-113.65,311
ABBT0155288,50.53,-113.07,311
ABBT0136701,49.87,-113.3,311
ABBT0116790,49.87,-113.26,311
ABBT0135649,49.64,-113.18,311
ABBT0117636,49.84,-113.45,311
ABBT0112544,49.91,-113.7,311
ABBT0122220,50,-113.05,311
ABBT0153740,49.86,-113.38,311
ABBT0144623,49.96,-113.73,311
ABBT0104452,49.92,-113.45,311
ABBT0065749,50.19,-113.71,311
ABBT0154314,50.69,-113.12,311
ABBT0095849,50.07,-113.29,311
ABBT0093496,50.17,-113.45,311
ABBT0057442,50.09,-113.37,311
ABBT0099350,49.88,-113.49,311
ABBT0054860,50.85,-113.15,311
ABBT0056058,50.82,-113.15,311
ABBT0059615,50.79,-113.17,311
ABBT0114747,50.86,-113.17,311
ABBT0119484,50.79,-113.19,311
ABBT0130391,50.06,-113.25,311
ABBT0122789,50.63,-113.15,311
ABBT0159509,49.06,-113.15,311
ABBT0153417,49.13,-113.08,311
ABBT0098912,50.6,-113.13,311
ABBT0098915,50.02,-113.54,311
ABBT0098997,50.12,-113.7,311
ABBT0088706,49.94,-113.72,311
ABBT0082677,49.98,-113.74,311
ABBT0092373,50.22,-113.33,311
ABBT0092372,50.29,-113.43,311
ABBT0085060,49.99,-113.75,311
ABBT0091854,50,-113.76,311
ABBT0091887,49.96,-113.73,311
ABBT0092199,50.19,-113.73,311
ABBT0091416,50.02,-113.77,311
ABBT0110244,49.91,-113.67,311
ABBT0109545,50.11,-113.68,311
ABBT0111994,50.15,-113.44,311
ABBT0102281,50.69,-113.12,311
ABBT0089872,50.15,-113.38,311
ABBT0106638,50.54,-113.04,311
ABBT0155033,50.7,-113.67,311
ABBT0089216,50.01,-113.77,311
ABBT0055658,50.07,-113.29,311
ABBT0055815,49.93,-113.23,311
ABBT0056582,50.05,-113.22,311
ABBT0057158,50.06,-113.26,311
ABBT0057210,50.17,-113.63,311
ABBT0057730,50.05,-113.2,311
ABBT0054125,50.11,-113.45,311
ABBT0054287,50.07,-113.31,311
ABBT0057731,50.18,-113.66,311
ABBT0058978,50.18,-113.66,311
ABBT0080084,50.93,-113.04,311
ABBT0049465,50.57,-113.05,311
ABBT0098498,50.96,-113.17,311
ABBT0147144,49.67,-113.08,321
ABBT0137479,50.6,-113.2,321
ABBT0128200,49.77,-113.1,321
ABBT0127451,49.75,-113.3,321
ABBT8050017,50.69,-113.11,322
ABBT0132002,49.79,-113.13,322
ABBT0134430,49.82,-113.19,322
ABBT0135267,49.7,-113.15,322
ABBT0124572,49.73,-113.21,322
ABBT0082854,49.69,-113.05,322
ABBT0076436,50.19,-113.42,322
ABBT0119131,50.28,-113.38,322
ABBT9090044,50.76,-114.37,322
ABBT9090003,50.52,-114.24,322
ABBT9090009,50.55,-114.24,322
ABBT0155982,50.29,-113.4,322
ABBT0046511,50.6,-113.38,322
ABBT0045932,50.6,-113.06,322
ABBT0144017,50.59,-113.16,322
ABBT0084575,50.62,-114.29,322
ABBT0136136,50.91,-113.42,322
ABBT0118143,50.59,-113.27,322
ABBT0119322,50.6,-113.32,322
ABBT0137737,50.61,-113.29,322
ABBT0129999,50.64,-113.23,322
ABBT0120913,50.57,-113.02,322
ABBT0122065,50.03,-113.17,322
ABBT0155287,50.71,-113.66,322
ABBT0118368,50.58,-113.16,322
ABBT0058502,50.11,-113.48,351
ABBT0117043,50.15,-113.58,351
ABBT0116933,50.12,-113.53,351
ABBT0059037,50.28,-113.52,351
ABBT0142773,49.81,-113.5,351
ABBT0142772,49.82,-113.5,351
ABBT0153086,50.15,-113.68,351
ABBT0153085,50.18,-113.69,351
ABBT0142775,49.81,-113.46,351
ABBT0116931,50.12,-113.53,351
ABBT0116930,50.11,-113.54,351
ABBT0116634,50.13,-113.62,351
ABBT0116633,50.13,-113.68,351
ABBT0116632,50.17,-113.66,351
ABBT0116936,50.17,-113.59,351
ABBT0136043,49.93,-113.53,351
ABBT0116937,50.17,-113.59,351
ABBT0066824,50.19,-113.52,351
ABBT0063109,50.21,-113.53,351
ABBT0063108,50.2,-113.52,351
ABBT0116631,50.14,-113.61,351
ABBT0107159,50.26,-113.6,351
ABBT0088117,50.26,-113.55,351
ABBT0084246,50.28,-113.54,351
ABBT0079373,50.07,-113.55,351
ABBT0062472,50.18,-113.6,351
ABBT0057152,50.23,-113.54,351
ABBT0076931,50.61,-113.28,351
ABBT0136304,49.91,-113.4,351
ABBT0056180,50.6,-113.29,351
ABBT0099562,50.55,-113.24,351
ABBT0133918,49.96,-113.56,351
ABBT0136527,50.56,-113.35,351
ABBT0058057,50.12,-113.63,361
ABBT0058281,50.11,-113.6,361
ABBT0058372,50.23,-113.5,361
ABBT0059010,50.3,-113.52,361
ABBT7330001,49.94,-113.4,361
ABBT0066491,50.24,-113.62,361
ABBT0154358,50.42,-113.92,361
ABBT0076438,50.14,-113.66,361
ABBT0086457,49.96,-113.64,361
ABBT0144012,50.87,-113.4,361
ABBT0053092,50.15,-113.58,361
ABBT0096092,50.53,-113.08,361
ABBT0049351,50.04,-113.65,361
ABBT0042122,50.04,-113.6,361
ABBT0063013,50.25,-113.62,361
ABBT0054267,50.6,-113.39,361
ABBT0045552,50.52,-113.36,361
ABBT0141949,49.94,-113.66,361
ABBT0059174,50.18,-113.61,361
ABBT0059986,50.12,-113.57,361
ABBT0119144,50.77,-113.31,361
ABBT0119143,50.58,-113.13,361
ABBT0118135,50.66,-113.35,361
ABBT0118133,50.81,-113.32,361
ABBT0130622,50.69,-114.29,362
ABBT0130619,50.6,-114.24,362
ABBT0130620,50.64,-114.25,362
ABBT0065773,50.76,-114.55,362
ABBT0130623,50.54,-114.21,362
ABBT0115910,49.96,-113.6,362
ABBT6180002,50.84,-114.6,362
ABBT9310002,49.31,-114.1,362
ABBT0129186,49.7,-113.02,363
ABBT0114748,50.88,-113.2,364
ABBT0115364,50.92,-113.8,364
ABBT0141216,50.9,-113.43,364
ABBT0142093,49.98,-113.64,364
ABBT0122625,49.92,-113.44,364
ABBT0108636,50.97,-113.01,364
ABBT0087789,50.95,-113.07,364
ABBT0090548,50.99,-113.2,364
