component,source,EPR,ERS,repairable,duration,multiple_emissions
comp1,test1,0.005,test1,TRUE,365,TRUE
comp2,test2,0.005,test2,FALSE,365,TRUE
CompressorRodPacking,test1,0.005,test1,TRUE,365,TRUE
Connector,flange_thread,0.005,flange_thread,TRUE,365,TRUE
ControlValve,controller,0.005,controller,TRUE,365,TRUE
Meter,meter_instru,0.005,meter_instru,TRUE,365,TRUE
OpenEndedLine,OEL_vent_leak,0.005,OEL_vent_leak,TRUE,365,TRUE
PSV,PSV,0.005,PSV,TRUE,365,TRUE
PumpSeal,pump_packing,0.005,pump_packing,TRUE,365,TRUE
Regulator,regulator,0.005,regulator,TRUE,365,TRUE
ThiefHatch,thief_hatch,0.005,thief_hatch,TRUE,365,TRUE
Valve,vale,0.005,vale,TRUE,365,TRUE
CatadyneHeater,cat_heater,0.005,cat_heater,TRUE,365,TRUE
Othertank,tank_other,0.005,tank_other,TRUE,365,TRUE
CompressorCylinderHead,compressor,0.005,compressor,TRUE,365,TRUE
Intermittent,actuator,0.005,actuator,FALSE,365,TRUE
LevelController,controller_vent,0.005,controller_vent,FALSE,365,TRUE
Positioner,regulator_vent,0.005,regulator_vent,FALSE,365,TRUE
PressureController,controller_vent,0.005,controller_vent,FALSE,365,TRUE
Pump,pump_vent,0.005,pump_vent,FALSE,365,TRUE
Transducer,meter_instru_vent,0.005,meter_instru_vent,FALSE,365,TRUE
