Site ID,Survey Level,Method,Start Date,End Date,"""Measured"" Rate (g/s)","""Estimated"" Volume Emitted (Kg Methane)",Site Type,Site Measured
ABBT0041497,,,2022-01-01,2022-01-01,31.691989266170367,0.0,322,True
ABBT0041497,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0041497,,,2022-01-01,2022-05-02,55.63872525926764,581669.4893504876,322,True
ABBT0041497,,,2022-05-02,2022-05-02,18.93676876369734,0.0,322,True
ABBT0041497,,,2022-05-02,2022-08-31,42.33504404622431,442587.4844768475,322,True
ABBT0041497,,,2022-08-31,2022-08-31,24.215818555013108,0.0,322,True
ABBT0041497,,,2022-08-31,2022-12-31,37.883354915174515,399320.8674898715,322,True
ABBT0041497,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0088850,,,2022-01-01,2022-01-01,52.11630120560294,0.0,311,True
ABBT0088850,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0088850,,,2022-01-01,2022-05-02,84.47440131062137,883129.1810617602,311,True
ABBT0088850,,,2022-05-02,2022-05-02,33.33929647282971,0.0,311,True
ABBT0088850,,,2022-05-02,2022-08-31,57.88686559271024,605172.4476524299,311,True
ABBT0088850,,,2022-08-31,2022-08-31,19.131044915598224,0.0,311,True
ABBT0088850,,,2022-08-31,2022-12-31,57.32003873936745,604199.0643439244,311,True
ABBT0088850,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0098754,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0098754,,,2022-01-01,2022-01-02,20.713293636509235,1789.628570194398,311,True
ABBT0098754,,,2022-01-02,2022-05-03,39.90755675408821,417209.56132993987,311,True
ABBT0098754,,,2022-05-03,2022-05-03,21.239636834342818,0.0,311,True
ABBT0098754,,,2022-05-03,2022-05-05,38.17713920926606,6597.009655361176,311,True
ABBT0098754,,,2022-05-05,2022-09-01,41.767369205257424,429435.38322077476,311,True
ABBT0098754,,,2022-09-01,2022-12-31,55.69104931293465,582216.505937144,311,True
ABBT0098754,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0114911,,,2022-01-01,2022-01-01,43.65522059439044,0.0,322,True
ABBT0114911,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0114911,,,2022-01-01,2022-05-02,59.268399178470986,619615.552371407,322,True
ABBT0114911,,,2022-05-02,2022-05-02,38.23693343636345,0.0,322,True
ABBT0114911,,,2022-05-02,2022-08-31,60.757920321106695,635187.6022049779,322,True
ABBT0114911,,,2022-08-31,2022-08-31,27.731415220528035,0.0,322,True
ABBT0114911,,,2022-08-31,2022-12-31,33.5054214404704,353173.9463197104,322,True
ABBT0114911,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0153854,,,2022-01-01,2022-01-01,40.00533317630515,0.0,322,True
ABBT0153854,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0153854,,,2022-01-01,2022-05-02,58.126695351739535,607679.7238852258,322,True
ABBT0153854,,,2022-05-02,2022-05-02,30.29694412399213,0.0,322,True
ABBT0153854,,,2022-05-02,2022-08-31,43.91582880466946,459113.64065553644,322,True
ABBT0153854,,,2022-08-31,2022-08-31,14.553406957396755,0.0,322,True
ABBT0153854,,,2022-08-31,2022-12-31,29.748075594542,313568.51522694837,322,True
ABBT0153854,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0155000,,,2022-01-01,2022-01-01,19.73590934596462,0.0,322,True
ABBT0155000,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0155000,,,2022-01-01,2022-05-02,37.84628962198122,395660.2502240405,322,True
ABBT0155000,,,2022-05-02,2022-05-02,9.620006589964321,0.0,322,True
ABBT0155000,,,2022-05-02,2022-08-31,23.435616962730066,245005.31397516522,322,True
ABBT0155000,,,2022-08-31,2022-08-31,23.410323456571795,0.0,322,True
ABBT0155000,,,2022-08-31,2022-12-31,33.76070928804861,355864.8844634628,322,True
ABBT0155000,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0155561,,,2022-01-01,2022-01-01,30.34895632102394,0.0,322,True
ABBT0155561,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0155561,,,2022-01-01,2022-05-02,48.41835777459075,506184.8795186816,322,True
ABBT0155561,,,2022-05-02,2022-05-02,15.528937904770071,0.0,322,True
ABBT0155561,,,2022-05-02,2022-08-31,20.137139431622238,210521.71047395156,322,True
ABBT0155561,,,2022-08-31,2022-08-31,11.98403075605932,0.0,322,True
ABBT0155561,,,2022-08-31,2022-12-31,13.19177337608945,139051.84480268368,322,True
ABBT0155561,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0160261,,,2022-01-01,2022-01-01,33.830430242852266,0.0,322,True
ABBT0160261,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0160261,,,2022-01-01,2022-05-02,39.91061770824735,417241.5617691011,322,True
ABBT0160261,,,2022-05-02,2022-05-02,20.35958043086981,0.0,322,True
ABBT0160261,,,2022-05-02,2022-08-31,27.462723606482008,287106.29767160554,322,True
ABBT0160261,,,2022-08-31,2022-08-31,15.09677188482348,0.0,322,True
ABBT0160261,,,2022-08-31,2022-12-31,24.041292161999593,253414.45242120532,322,True
ABBT0160261,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0160520,,,2022-01-01,2022-01-01,40.07043466128383,0.0,311,True
ABBT0160520,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0160520,,,2022-01-01,2022-05-02,66.72671107711764,697587.7282846187,311,True
ABBT0160520,,,2022-05-02,2022-05-02,44.017909197796115,0.0,311,True
ABBT0160520,,,2022-05-02,2022-05-07,63.10674216122636,27262.11261364979,311,True
ABBT0160520,,,2022-05-07,2022-08-31,64.16604597461281,643097.7791759595,311,True
ABBT0160520,,,2022-08-31,2022-12-31,81.12231754372192,855094.124764864,311,True
ABBT0160520,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT8480001,,,2022-01-01,2022-01-01,14.461775023400042,0.0,322,True
ABBT8480001,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT8480001,,,2022-01-01,2022-05-02,19.381133385335733,202618.1208636539,322,True
ABBT8480001,,,2022-05-02,2022-05-02,16.972146743366796,0.0,322,True
ABBT8480001,,,2022-05-02,2022-05-04,20.473582481187435,3537.835052749189,322,True
ABBT8480001,,,2022-05-04,2022-08-31,24.80321819652348,255016.76820937585,322,True
ABBT8480001,,,2022-08-31,2022-12-31,31.023743602956067,327015.0765700393,322,True
ABBT8480001,,,2022-12-31,2022-12-31,0.0,0.0,322,True
